AttractionId,City,Country,AttractionType,Attraction,AttractionAddress
1,Berlin,Germany,Wildlife,Berlin Wildlife 1,"Main Road, Berlin"
2,Sao Paulo,Brazil,Historical Site,Sao Paulo Historical Site 2,"Main Road, Sao Paulo"
3,Rio de Janeiro,Brazil,Adventure,Rio de Janeiro Adventure 3,"Main Road, Rio de Janeiro"
4,Buenos Aires,Argentina,Temple,Buenos Aires Temple 4,"Main Road, Buenos Aires"
5,Santiago,Chile,Adventure,Santiago Adventure 5,"Main Road, Santiago"
6,Johannesburg,South Africa,Museum,Johannesburg Museum 6,"Main Road, Johannesburg"
7,Santiago,Chile,Park,Santiago Park 7,"Main Road, Santiago"
8,Las Vegas,USA,Museum,Las Vegas Museum 8,"Main Road, Las Vegas"
9,Nice,France,Adventure,Nice Adventure 9,"Main Road, Nice"
10,Toronto,Canada,Wildlife,Toronto Wildlife 10,"Main Road, Toronto"
11,Pattaya,Thailand,Beach,Pattaya Beach 11,"Main Road, Pattaya"
12,New York,USA,Historical Site,New York Historical Site 12,"Main Road, New York"
13,Auckland,New Zealand,Wildlife,Auckland Wildlife 13,"Main Road, Auckland"
14,Sao Paulo,Brazil,Historical Site,Sao Paulo Historical Site 14,"Main Road, Sao Paulo"
15,Jaipur,India,Historical Site,Jaipur Historical Site 15,"Main Road, Jaipur"
16,Sao Paulo,Brazil,Historical Site,Sao Paulo Historical Site 16,"Main Road, Sao Paulo"
17,Buenos Aires,Argentina,Wildlife,Buenos Aires Wildlife 17,"Main Road, Buenos Aires"
18,Madrid,Spain,Historical Site,Madrid Historical Site 18,"Main Road, Madrid"
19,Auckland,New Zealand,Park,Auckland Park 19,"Main Road, Auckland"
20,Vancouver,Canada,Wildlife,Vancouver Wildlife 20,"Main Road, Vancouver"
21,Luxor,Egypt,Temple,Luxor Temple 21,"Main Road, Luxor"
22,Melbourne,Australia,Adventure,Melbourne Adventure 22,"Main Road, Melbourne"
23,Los Angeles,USA,Adventure,Los Angeles Adventure 23,"Main Road, Los Angeles"
24,Nairobi,Kenya,Museum,Nairobi Museum 24,"Main Road, Nairobi"
25,Cairo,Egypt,Temple,Cairo Temple 25,"Main Road, Cairo"
26,Rome,Italy,Temple,Rome Temple 26,"Main Road, Rome"
27,Nairobi,Kenya,Temple,Nairobi Temple 27,"Main Road, Nairobi"
28,Rio de Janeiro,Brazil,Beach,Rio de Janeiro Beach 28,"Main Road, Rio de Janeiro"
29,Santiago,Chile,Wildlife,Santiago Wildlife 29,"Main Road, Santiago"
30,Cape Town,South Africa,Museum,Cape Town Museum 30,"Main Road, Cape Town"
31,Queenstown,New Zealand,Historical Site,Queenstown Historical Site 31,"Main Road, Queenstown"
32,Buenos Aires,Argentina,Shopping,Buenos Aires Shopping 32,"Main Road, Buenos Aires"
